candidate_slug,source_plant_slug,target_plant_slug,relationship_type,confidence,evidence_type,rationale,relationship_direction,min_distance_inches,max_distance_inches,source_name,source_url,source_notes,generation_rule,conflict_notes,review_status,reviewer_decision,reviewer_notes
carrot-celery-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,celery,avoid,low,generated_inference,"Carrot and Celery are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
carrot-cilantro-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,cilantro,avoid,low,generated_inference,"Carrot and Cilantro are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
carrot-dill-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,dill,avoid,low,generated_inference,"Carrot and Dill are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
carrot-fennel-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,fennel,avoid,low,generated_inference,"Carrot and Fennel are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
carrot-parsley-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,parsley,avoid,low,generated_inference,"Carrot and Parsley are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
carrot-parsnip-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,carrot,parsnip,avoid,low,generated_inference,"Carrot and Parsnip are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
celery-cilantro-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,celery,cilantro,avoid,low,generated_inference,"Celery and Cilantro are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
celery-dill-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,celery,dill,avoid,low,generated_inference,"Celery and Dill are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
celery-fennel-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,celery,fennel,avoid,low,generated_inference,"Celery and Fennel are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
celery-parsley-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,celery,parsley,avoid,low,generated_inference,"Celery and Parsley are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
celery-parsnip-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,celery,parsnip,avoid,low,generated_inference,"Celery and Parsnip are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
cilantro-dill-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,cilantro,dill,avoid,low,generated_inference,"Cilantro and Dill are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,600,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
cilantro-fennel-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,cilantro,fennel,avoid,low,generated_inference,"Cilantro and Fennel are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,600,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
cilantro-parsley-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,cilantro,parsley,avoid,low,generated_inference,"Cilantro and Parsley are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
cilantro-parsnip-avoid-generated-inference-apiaceae-seed-saving-isolation-candidate,cilantro,parsnip,avoid,low,generated_inference,"Cilantro and Parsnip are Apiaceae crops that can attract insect pollinators when flowering; flag close co-flowering plantings for seed-saving review. This is a seed-purity caution, not a claim that edible leaf harvests are incompatible.",symmetric,240,,,,,apiaceae_seed_saving_isolation_candidate,,needs_review,,
